,fam,gen,sp,count,Local,ShadeTol,mainDispersal,,canFixN,Wind,Water,Animal,Insect,Vertebrate,Kernel (m),Strategy,Refs
182,Simaroubaceae,Simaba,cedron,6,,,Animal,bird,,,,,,,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjMgcn-vdrzAhVJVs0KHZFQCQ8QFnoECAQQAQ&url=http%3A%2F%2Fufdcimages.uflib.ufl.edu%2FUF%2FE0%2F01%2F70%2F00%2F00001%2Fclayton_j.pdf&usg=AOvVaw3zslHrQxeO8XPbkwBKf9Uc
224,Combretaceae,Terminalia,amazonia,5,,,Wind,,,Common,,,,,,Late,Werden et al 2020 Dryad
254,Simaroubaceae,Simarouba,amara,5,,,Animal,,,,,,,,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjbyoOdvtrzAhX0dM0KHTkpBPAQFnoECAcQAQ&url=https%3A%2F%2Fwww.nature.com%2Farticles%2F6800714&usg=AOvVaw2QrnV3Bfwa_Iv5owjDhJv2
287,NA,Visimia,ferruginea,5,,,Animal,bird,,,,,,,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjIpJOvvtrzAhVQWs0KHdn8D8EQFnoECA8QAQ&url=https%3A%2F%2Fwww.scielo.br%2Fj%2Frbzool%2Fa%2Fq6wPnDpGqVfxMyf4CVCQnZR%2F%3Fformat%3Dpdf%26lang%3Dpt&usg=AOvVaw1_B6323c84EoRIoej9a4vN
311,Bignoniaceae,Tabebuia,sp.,4,,,Wind,,,,,,,,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwij37LDvtrzAhWSWM0KHddmA48QFnoECBIQAQ&url=https%3A%2F%2Fwww.cabi.org%2Fisc%2Fdatasheet%2F52577&usg=AOvVaw22vuY_E8cY2Cvn3qOTQ6kZ
322,Clethraceae,Clethra,mexicana,4,,,Animal,,,,,,,,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjr9q3TvtrzAhWFWc0KHct5AN4QFnoECAMQAQ&url=https%3A%2F%2Frevivemx.org%2FRecursos%2FFichas_propagacion%2FFichaPropagacion_F1_Clethra_mexicana_Marangola_v2.pdf&usg=AOvVaw04WEFxGEjFRjU9NhR83BrI
335,Rubiaceae,Posoqueria,latifolia,4,,,Animal,"mammal, bird",,,,,,,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjQuofhvtrzAhWGZM0KHUw2A-AQFnoECAMQAQ&url=https%3A%2F%2Ffloracostaricensis.myspecies.info%2Ftaxonomy%2Fterm%2F27113%2Fdescriptions&usg=AOvVaw07n_PmdMhqy7vjTSkPOd6b
364,Sapotaceae,Manilkara,staminodella,4,,,Animal,bird,,,,,,,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwj6lZuVv9rzAhWKXM0KHawlAE0QFnoECAMQAQ&url=http%3A%2F%2Fsweetgum.nybg.org%2Fscience%2Fworld-flora%2Fmonographs-details%2F%3Firn%3D12064&usg=AOvVaw2jekbV2_qOxG-FNNqajL5b
412,Anacardiaceae,Tapirira,myriantha,3,,,Wind,,,,,,,,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjA5e_8vtrzAhUSH80KHZLPAf0QFnoECBYQAQ&url=https%3A%2F%2Fwww.lagamba.at%2Ffileadmin%2Fuser_upload%2Fp_lagamba%2Fpdf%2FWiss_Infos%2FEcosystem_diversity_of_the_Golfo_Dulce_region.pdf&usg=AOvVaw0NblRo_vaRijSGLojB9o-f
415,Fabaceae,Tachigali,versicolor,3,,,Wind,,,,,,,,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjRxoWFwdrzAhUNXM0KHd-AAnAQFnoECAQQAQ&url=https%3A%2F%2Fwww.britannica.com%2Fplant%2Fsuicide-tree&usg=AOvVaw3NZ9QSAbmYeGiWMDKMYnxd
474,Fagaceae,Quercus,sp.,3,,,Animal,bird,,,,,,,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjixZeVwdrzAhWBQs0KHXitC6gQFnoECAIQAQ&url=https%3A%2F%2Fwww.researchgate.net%2Fpublication%2F40114431_Jays_Mice_and_Oaks_Predation_and_Dispersal_of_Quercus_robur_and_Q_petraea_in_North-western_Europe&usg=AOvVaw0zy-6i7bYcnV5JsioQoTh0
509,Lamiaceae,Gmelina,arborea,3,,,Animal,"bird, bat",,,,,,,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiHkvmqwdrzAhWZXc0KHcg2BxQQFnoECAQQAQ&url=https%3A%2F%2Fwww.cabi.org%2Fisc%2Fdatasheet%2F25465&usg=AOvVaw1a3Oy9LBpFTnC8awZaoUOH
524,Myrtaceae,Syzygium,jambos,3,,,Animal,bat,,,,,,,,,"Raju 2014, Ganesh 1996 https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiW8NH0wdrzAhXSXM0KHYJsDnoQFnoECBsQAQ&url=https%3A%2F%2Fpdfs.semanticscholar.org%2Faf53%2F6a581dd95c42fb1297d88acfc595309f58cc.pdf&usg=AOvVaw2IsvPAA79mrsZWwxJFLoqt"
543,Rubiaceae,Simira,maxonii,3,,,Animal,,,,,,,,,,
